start hour,end hour,t+0,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23
0,23,0.9943181818181819,0.682765151680524,0.8428030303777143,0.8112571026935769,0.926787405285151,0.7040127839258701,0.2539062500900213,0.2510357481406875,0.407670454344107,0.0775923293684504,0.33931107929200777,0.009854403476794338,0.030539772715269864,0.020537405296695344,0.15859769571696147,0.12171519886888738,0.10700757573623765,0.06699810606193968,0.11088423295810879,0.7114997626716055,0.2363873102893208,0.22913707404649153,0.6042258525071569,0.8717546559277309
2,25,0.8428030303777143,0.8112571026935769,0.926787405285151,0.7040127839258701,0.2539062500900213,0.2510357481406875,0.407670454344107,0.0775923293684504,0.33931107929200777,0.009854403476794338,0.030539772715269864,0.020537405296695344,0.15859769571696147,0.12171519886888738,0.10700757573623765,0.06699810606193968,0.11088423295810879,0.7114997626716055,0.2363873102893208,0.22913707404649153,0.6042258525071569,0.8717546559277309,0.8600852272727273,0.4475023675396459
4,27,0.926787405285151,0.7040127839258701,0.2539062500900213,0.2510357481406875,0.407670454344107,0.0775923293684504,0.33931107929200777,0.009854403476794338,0.030539772715269864,0.020537405296695344,0.15859769571696147,0.12171519886888738,0.10700757573623765,0.06699810606193968,0.11088423295810879,0.7114997626716055,0.2363873102893208,0.22913707404649153,0.6042258525071569,0.8717546559277309,0.8600852272727273,0.4475023675396459,0.36582623171325834,0.32972301122185343
6,29,0.2539062500900213,0.2510357481406875,0.407670454344107,0.0775923293684504,0.33931107929200777,0.009854403476794338,0.030539772715269864,0.020537405296695344,0.15859769571696147,0.12171519886888738,0.10700757573623765,0.06699810606193968,0.11088423295810879,0.7114997626716055,0.2363873102893208,0.22913707404649153,0.6042258525071569,0.8717546559277309,0.8600852272727273,0.4475023675396459,0.36582623171325834,0.32972301122185343,0.17968749990097765,0.04578006644097521
8,31,0.407670454344107,0.0775923293684504,0.33931107929200777,0.009854403476794338,0.030539772715269864,0.020537405296695344,0.15859769571696147,0.12171519886888738,0.10700757573623765,0.06699810606193968,0.11088423295810879,0.7114997626716055,0.2363873102893208,0.22913707404649153,0.6042258525071569,0.8717546559277309,0.8600852272727273,0.4475023675396459,0.36582623171325834,0.32972301122185343,0.17968749990097765,0.04578006644097521,0.4408735797528782,0.1455817942574238
10,33,0.33931107929200777,0.009854403476794338,0.030539772715269864,0.020537405296695344,0.15859769571696147,0.12171519886888738,0.10700757573623765,0.06699810606193968,0.11088423295810879,0.7114997626716055,0.2363873102893208,0.22913707404649153,0.6042258525071569,0.8717546559277309,0.8600852272727273,0.4475023675396459,0.36582623171325834,0.32972301122185343,0.17968749990097765,0.04578006644097521,0.4408735797528782,0.1455817942574238,0.05650252524630173,0.07310901863619212
12,35,0.030539772715269864,0.020537405296695344,0.15859769571696147,0.12171519886888738,0.10700757573623765,0.06699810606193968,0.11088423295810879,0.7114997626716055,0.2363873102893208,0.22913707404649153,0.6042258525071569,0.8717546559277309,0.8600852272727273,0.4475023675396459,0.36582623171325834,0.32972301122185343,0.17968749990097765,0.04578006644097521,0.4408735797528782,0.1455817942574238,0.05650252524630173,0.07310901863619212,0.3256687966665728,0.020300662856282514
14,37,0.15859769571696147,0.12171519886888738,0.10700757573623765,0.06699810606193968,0.11088423295810879,0.7114997626716055,0.2363873102893208,0.22913707404649153,0.6042258525071569,0.8717546559277309,0.8600852272727273,0.4475023675396459,0.36582623171325834,0.32972301122185343,0.17968749990097765,0.04578006644097521,0.4408735797528782,0.1455817942574238,0.05650252524630173,0.07310901863619212,0.3256687966665728,0.020300662856282514,0.009765624950488383,0.042613636363636354
16,39,0.10700757573623765,0.06699810606193968,0.11088423295810879,0.7114997626716055,0.2363873102893208,0.22913707404649153,0.6042258525071569,0.8717546559277309,0.8600852272727273,0.4475023675396459,0.36582623171325834,0.32972301122185343,0.17968749990097765,0.04578006644097521,0.4408735797528782,0.1455817942574238,0.05650252524630173,0.07310901863619212,0.3256687966665728,0.020300662856282514,0.009765624950488383,0.042613636363636354,0.042613636363636354,0.25887784586926377
18,41,0.11088423295810879,0.7114997626716055,0.2363873102893208,0.22913707404649153,0.6042258525071569,0.8717546559277309,0.8600852272727273,0.4475023675396459,0.36582623171325834,0.32972301122185343,0.17968749990097765,0.04578006644097521,0.4408735797528782,0.1455817942574238,0.05650252524630173,0.07310901863619212,0.3256687966665728,0.020300662856282514,0.009765624950488383,0.042613636363636354,0.042613636363636354,0.25887784586926377,0.1568418531709237,0.3561049982497331
20,43,0.2363873102893208,0.22913707404649153,0.6042258525071569,0.8717546559277309,0.8600852272727273,0.4475023675396459,0.36582623171325834,0.32972301122185343,0.17968749990097765,0.04578006644097521,0.4408735797528782,0.1455817942574238,0.05650252524630173,0.07310901863619212,0.3256687966665728,0.020300662856282514,0.009765624950488383,0.042613636363636354,0.042613636363636354,0.25887784586926377,0.1568418531709237,0.3561049982497331,0.08354048532585723,0.13415897213465788
22,45,0.6042258525071569,0.8717546559277309,0.8600852272727273,0.4475023675396459,0.36582623171325834,0.32972301122185343,0.17968749990097765,0.04578006644097521,0.4408735797528782,0.1455817942574238,0.05650252524630173,0.07310901863619212,0.3256687966665728,0.020300662856282514,0.009765624950488383,0.042613636363636354,0.042613636363636354,0.25887784586926377,0.1568418531709237,0.3561049982497331,0.08354048532585723,0.13415897213465788,0.11588541681370157,0.0808771307500844
24,47,0.8600852272727273,0.4475023675396459,0.36582623171325834,0.32972301122185343,0.17968749990097765,0.04578006644097521,0.4408735797528782,0.1455817942574238,0.05650252524630173,0.07310901863619212,0.3256687966665728,0.020300662856282514,0.009765624950488383,0.042613636363636354,0.042613636363636354,0.25887784586926377,0.1568418531709237,0.3561049982497331,0.08354048532585723,0.13415897213465788,0.11588541681370157,0.0808771307500844,0.21462673619162875,0.48302359601269407
26,49,0.36582623171325834,0.32972301122185343,0.17968749990097765,0.04578006644097521,0.4408735797528782,0.1455817942574238,0.05650252524630173,0.07310901863619212,0.3256687966665728,0.020300662856282514,0.009765624950488383,0.042613636363636354,0.042613636363636354,0.25887784586926377,0.1568418531709237,0.3561049982497331,0.08354048532585723,0.13415897213465788,0.11588541681370157,0.0808771307500844,0.21462673619162875,0.48302359601269407,0.19886363453920541,0.28605883241400387
28,51,0.17968749990097765,0.04578006644097521,0.4408735797528782,0.1455817942574238,0.05650252524630173,0.07310901863619212,0.3256687966665728,0.020300662856282514,0.009765624950488383,0.042613636363636354,0.042613636363636354,0.25887784586926377,0.1568418531709237,0.3561049982497331,0.08354048532585723,0.13415897213465788,0.11588541681370157,0.0808771307500844,0.21462673619162875,0.48302359601269407,0.19886363453920541,0.28605883241400387,0.2758641078485129,0.35329367888481356
30,53,0.4408735797528782,0.1455817942574238,0.05650252524630173,0.07310901863619212,0.3256687966665728,0.020300662856282514,0.009765624950488383,0.042613636363636354,0.042613636363636354,0.25887784586926377,0.1568418531709237,0.3561049982497331,0.08354048532585723,0.13415897213465788,0.11588541681370157,0.0808771307500844,0.21462673619162875,0.48302359601269407,0.19886363453920541,0.28605883241400387,0.2758641078485129,0.35329367888481356,0.1853693227729083,0.30017459731920204
32,55,0.05650252524630173,0.07310901863619212,0.3256687966665728,0.020300662856282514,0.009765624950488383,0.042613636363636354,0.042613636363636354,0.25887784586926377,0.1568418531709237,0.3561049982497331,0.08354048532585723,0.13415897213465788,0.11588541681370157,0.0808771307500844,0.21462673619162875,0.48302359601269407,0.19886363453920541,0.28605883241400387,0.2758641078485129,0.35329367888481356,0.1853693227729083,0.30017459731920204,0.3276811077977586,0.35518761827631473
34,57,0.3256687966665728,0.020300662856282514,0.009765624950488383,0.042613636363636354,0.042613636363636354,0.25887784586926377,0.1568418531709237,0.3561049982497331,0.08354048532585723,0.13415897213465788,0.11588541681370157,0.0808771307500844,0.21462673619162875,0.48302359601269407,0.19886363453920541,0.28605883241400387,0.2758641078485129,0.35329367888481356,0.1853693227729083,0.30017459731920204,0.3276811077977586,0.35518761827631473,0.03740530301830003,0.047407670465048124
36,59,0.009765624950488383,0.042613636363636354,0.042613636363636354,0.25887784586926377,0.1568418531709237,0.3561049982497331,0.08354048532585723,0.13415897213465788,0.11588541681370157,0.0808771307500844,0.21462673619162875,0.48302359601269407,0.19886363453920541,0.28605883241400387,0.2758641078485129,0.35329367888481356,0.1853693227729083,0.30017459731920204,0.3276811077977586,0.35518761827631473,0.03740530301830003,0.047407670465048124,0.043294270792073486,0.24325284324064023
38,61,0.042613636363636354,0.25887784586926377,0.1568418531709237,0.3561049982497331,0.08354048532585723,0.13415897213465788,0.11588541681370157,0.0808771307500844,0.21462673619162875,0.48302359601269407,0.19886363453920541,0.28605883241400387,0.2758641078485129,0.35329367888481356,0.1853693227729083,0.30017459731920204,0.3276811077977586,0.35518761827631473,0.03740530301830003,0.047407670465048124,0.043294270792073486,0.24325284324064023,0.25402462103007806,0.21761955424348134
40,63,0.1568418531709237,0.3561049982497331,0.08354048532585723,0.13415897213465788,0.11588541681370157,0.0808771307500844,0.21462673619162875,0.48302359601269407,0.19886363453920541,0.28605883241400387,0.2758641078485129,0.35329367888481356,0.1853693227729083,0.30017459731920204,0.3276811077977586,0.35518761827631473,0.03740530301830003,0.047407670465048124,0.043294270792073486,0.24325284324064023,0.25402462103007806,0.21761955424348134,0.13459990513699172,0.051580256030501315
42,65,0.08354048532585723,0.13415897213465788,0.11588541681370157,0.0808771307500844,0.21462673619162875,0.48302359601269407,0.19886363453920541,0.28605883241400387,0.2758641078485129,0.35329367888481356,0.1853693227729083,0.30017459731920204,0.3276811077977586,0.35518761827631473,0.03740530301830003,0.047407670465048124,0.043294270792073486,0.24325284324064023,0.25402462103007806,0.21761955424348134,0.13459990513699172,0.051580256030501315,0.015151514863446902,0.14029947844874502
